R,G,B
86,201,121
86,200,121
86,201,121
86,201,121
86,200,121
86,200,121
86,201,120
86,201,120
86,200,120
86,201,120
85,201,120
85,200,120
85,201,120
85,200,121
85,201,120
85,200,120
85,201,120
85,200,120
85,201,121
85,201,120
85,201,120
85,200,120
85,200,120
85,200,120
85,200,120
85,200,120
85,201,120
85,201,120
85,200,120
85,201,120
85,200,120
85,201,120
85,200,120
84,198,119
84,199,119
84,198,118
84,198,118
84,199,118
84,198,117
84,199,118
84,199,117
84,198,118
84,199,117
84,198,118
84,198,117
84,199,117
84,198,117
84,197,117
84,198,117
84,198,117
