R,G,B
203,90,241
203,90,241
203,90,241
203,90,241
204,90,241
204,90,242
204,89,241
204,89,241
203,89,241
203,88,240
203,88,241
203,88,240
203,88,241
202,88,240
202,88,240
202,87,240
202,87,240
202,88,240
202,88,240
202,88,240
202,87,240
202,88,240
202,88,240
202,87,239
202,88,240
202,87,240
202,87,240
203,88,240
203,88,241
203,89,240
203,88,240
203,88,241
203,88,240
202,89,240
202,88,241
202,88,240
202,87,240
202,88,240
202,87,240
202,88,240
202,88,240
202,88,240
202,88,240
202,88,240
202,88,240
202,88,240
202,88,240
202,89,240
202,88,240
202,88,239
