R,G,B
210,51,91
210,50,90
210,49,89
209,48,88
209,49,88
209,49,89
209,49,89
210,50,89
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,90
210,50,89
210,49,89
210,50,89
210,49,89
210,49,89
210,49,89
210,49,89
210,49,89
210,49,89
210,49,89
210,49,89
209,48,88
209,49,88
209,49,88
209,48,88
209,48,88
209,48,88
209,48,88
209,48,88
